ARFCN    MHz         
   512  1805.2 
   513  1805.4 
   514  1805.6 
   515  1805.8  
   516  1806.0   
   517  1806.2 
   518  1806.4   
   519  1806.6  
   520  1806.8  
   521  1807.0   
   522  1807.2 
   523  1807.4 
   524  1807.6  
   525  1807.8 
   526  1808.0  
   527  1808.2 
   528  1808.4 
   529  1808.6 
   530  1808.8 
   531  1809.0 
   532  1809.2
   533  1809.4
   534  1809.6 
   535  1809.8 
   536  1810.0 
   537  1810.2 
   538  1810.4 
   539  1810.6 
   540  1810.8
   541  1811.0
   542  1811.2
   543  1811.4
   544  1811.6
   644  1831.6   -98.9  ---  ---  -----  -----
   645  1831.8   -94.4  ---  ---  -----  -----
   646  1832.0   -99.1  ---  ---  -----  -----
   647  1832.2   -93.9  ---  ---  -----  -----
   648  1832.4   -96.6  ---  ---  -----  -----
   649  1832.6   -95.6  ---  ---  -----  -----
   650  1832.8   -97.2  ---  ---  -----  -----
   651  1833.0   -97.3  ---  ---  -----  -----
   652  1833.2   -99.7  ---  ---  -----  -----
   653  1833.4   -99.9  ---  ---  -----  -----
   654  1833.6   -98.6  ---  ---  -----  -----
   655  1833.8   -98.5  ---  ---  -----  -----
   656  1834.0   -98.5  ---  ---  -----  -----
   657  1834.2   -96.1  ---  ---  -----  -----
   658  1834.4   -98.6  ---  ---  -----  -----
   659  1834.6   -96.4  ---  ---  -----  -----
   660  1834.8   -97.0  ---  ---  -----  -----
   661  1835.0   -96.4  ---  ---  -----  -----
   662  1835.2   -99.7  ---  ---  -----  -----
   663  1835.4  -100.2  ---  ---  -----  -----
   664  1835.6   -96.2  ---  ---  -----  -----
   665  1835.8   -98.8  ---  ---  -----  -----
   666  1836.0   -95.1  ---  ---  -----  -----
   667  1836.2   -97.3  ---  ---  -----  -----
   668  1836.4   -96.4  ---  ---  -----  -----
   669  1836.6   -96.3  ---  ---  -----  -----
   670  1836.8   -96.9  ---  ---  -----  -----
   671  1837.0   -97.6  ---  ---  -----  -----
   672  1837.2  -102.5  ---  ---  -----  -----
   673  1837.4   -98.3  ---  ---  -----  -----
   674  1837.6   -99.2  ---  ---  -----  -----
   675  1837.8   -98.9  ---  ---  -----  -----
   676  1838.0   -96.5  ---  ---  -----  -----
   677  1838.2   -97.8  ---  ---  -----  -----
   678  1838.4   -96.8  ---  ---  -----  -----
   679  1838.6   -98.7  ---  ---  -----  -----
   680  1838.8   -96.1  ---  ---  -----  -----
   681  1839.0   -92.7  ---  ---  -----  -----
   682  1839.2  -100.7  ---  ---  -----  -----
   683  1839.4   -97.3  ---  ---  -----  -----
   684  1839.6   -98.9  ---  ---  -----  -----
   685  1839.8   -96.9  ---  ---  -----  -----
   686  1840.0   -97.7  ---  ---  -----  -----
   687  1840.2   -96.1  ---  ---  -----  -----
   688  1840.4   -92.0  ---  ---  -----  -----
   689  1840.6   -96.8  ---  ---  -----  -----
   690  1840.8   -96.3  ---  ---  -----  -----
   691  1841.0   -96.4  ---  ---  -----  -----
   692  1841.2  -101.4  ---  ---  -----  -----
   693  1841.4   -99.4  ---  ---  -----  -----
   694  1841.6   -98.2  ---  ---  -----  -----
   695  1841.8   -97.1  ---  ---  -----  -----
   696  1842.0   -97.3  ---  ---  -----  -----
   697  1842.2   -95.3  ---  ---  -----  -----
   698  1842.4   -97.6  ---  ---  -----  -----
   699  1842.6   -95.4  ---  ---  -----  -----
   700  1842.8   -95.9  ---  ---  -----  -----
   701  1843.0   -96.5  ---  ---  -----  -----
   702  1843.2  -100.6  ---  ---  -----  -----
   703  1843.4   -99.3  ---  ---  -----  -----
   704  1843.6   -96.5  ---  ---  -----  -----
   705  1843.8   -98.7  ---  ---  -----  -----
   706  1844.0   -95.9  ---  ---  -----  -----
   707  1844.2   -97.0  ---  ---  -----  -----
   708  1844.4   -96.8  ---  ---  -----  -----
   709  1844.6   -95.9  ---  ---  -----  -----
   710  1844.8   -96.8  ---  ---  -----  -----
   711  1845.0   -97.0  ---  ---  -----  -----
   712  1845.2  -101.4  ---  ---  -----  -----
   713  1845.4   -97.3  ---  ---  -----  -----
   714  1845.6   -97.4  ---  ---  -----  -----
   715  1845.8   -99.0  ---  ---  -----  -----
   716  1846.0   -94.5  ---  ---  -----  -----
   717  1846.2   -97.6  ---  ---  -----  -----
   718  1846.4   -94.4  ---  ---  -----  -----
   719  1846.6   -98.1  ---  ---  -----  -----
   720  1846.8   -94.1  ---  ---  -----  -----
   721  1847.0   -97.1  ---  ---  -----  -----
   722  1847.2  -101.5  ---  ---  -----  -----
   723  1847.4   -96.8  ---  ---  -----  -----
   724  1847.6   -98.0  ---  ---  -----  -----
   725  1847.8   -95.1  ---  ---  -----  -----
   726  1848.0   -97.1  ---  ---  -----  -----
   727  1848.2   -95.5  ---  ---  -----  -----
   728  1848.4   -95.2  ---  ---  -----  -----
   729  1848.6   -96.7  ---  ---  -----  -----
   730  1848.8   -94.2  ---  ---  -----  -----
   731  1849.0   -97.4  ---  ---  -----  -----
   732  1849.2  -101.0  ---  ---  -----  -----
   733  1849.4   -96.4  ---  ---  -----  -----
   734  1849.6   -98.4  ---  ---  -----  -----
   735  1849.8   -94.0  ---  ---  -----  -----
   736  1850.0   -97.0  ---  ---  -----  -----
   737  1850.2   -92.6  ---  ---  -----  -----
   738  1850.4   -97.4  ---  ---  -----  -----
   739  1850.6   -93.5  ---  ---  -----  -----
   740  1850.8   -95.2  ---  ---  -----  -----
   741  1851.0   -94.2  ---  ---  -----  -----
   742  1851.2   -98.6  ---  ---  -----  -----
   743  1851.4   -98.5  ---  ---  -----  -----
   744  1851.6   -95.6  ---  ---  -----  -----
   745  1851.8   -96.8  ---  ---  -----  -----
   746  1852.0   -94.6  ---  ---  -----  -----
   747  1852.2   -94.3  ---  ---  -----  -----
   748  1852.4   -96.3  ---  ---  -----  -----
   749  1852.6   -92.8  ---  ---  -----  -----
   750  1852.8   -96.1  ---  ---  -----  -----
   751  1853.0   -93.4  ---  ---  -----  -----
   752  1853.2   -98.1  ---  ---  -----  -----
   753  1853.4   -98.3  ---  ---  -----  -----
   754  1853.6   -94.5  ---  ---  -----  -----
   755  1853.8   -98.6  ---  ---  -----  -----
   756  1854.0   -93.2  ---  ---  -----  -----
